Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.6696,Mon Jan 29 03:37:35 +0000 2018,0.522,0.0,0.478,RT @CBSTweet: Cute family alert! @pink 💕 #GRAMMYs https://t.co/isveVC8aoJ,33,@CBS
0.0,Mon Jan 29 03:37:27 +0000 2018,1.0,0.0,0.0,"Slay all day, @sza! #GRAMMYs https://t.co/h1oCVMZE55",34,@CBS
0.5859,Mon Jan 29 03:34:36 +0000 2018,0.817,0.0,0.183,CBS Stars @shemarmoore from @swatcbs and @TheRealEve from @TheTalkCBS charming the crowd at The 60th Annual #GRAMMYs https://t.co/HLnRBE2rFW,35,@CBS
0.0,Mon Jan 29 03:27:04 +0000 2018,1.0,0.0,0.0,"RT @Jordan_Roth: And THAT is how it’s done, kids. #Patti #GRAMMYs",36,@CBS
0.0,Mon Jan 29 03:25:53 +0000 2018,1.0,0.0,0.0,💃💃💃 https://t.co/VZB0QEbajw,37,@CBS
-0.5267,Mon Jan 29 03:25:26 +0000 2018,0.702,0.298,0.0,RT @AnnaKendrick47: Punish me with those vocals @BenSPLATT 😵 #GRAMMYs,38,@CBS
0.1139,Mon Jan 29 03:24:02 +0000 2018,0.929,0.0,0.071,"Blue Ivy doesn't wanna miss a minute of the action. 🤫 

Watch The #GRAMMYs now on CBS and CBS All Access:… https://t.co/26zRlvLKgl",39,@CBS
0.0,Mon Jan 29 03:20:49 +0000 2018,1.0,0.0,0.0,The #GRAMMYs is a family affair...or is it? https://t.co/ohPdzp8jIZ,40,@CBS
0.8822,Mon Jan 29 03:16:02 +0000 2018,0.493,0.0,0.507,RT @Amyholly1Miller: Somewhere #GRAMMYs 🎤❤️😎 Love this song so much!!  Beautiful!,41,@CBS
0.0,Mon Jan 29 03:12:26 +0000 2018,1.0,0.0,0.0,Generations of icons come together on the #GRAMMY stage. See all of the performances from The 60th Annual #GRAMMYs… https://t.co/amGC0Lu4Di,42,@CBS
0.9854,Mon Jan 29 03:06:30 +0000 2018,0.208,0.0,0.792,"RT @nictothemarie: wow
wow
wow
wow
wow
wow
wow
wow
@eltonjohn @mileycyrus
having a heart EXPLOSION
#grammys",43,@CBS
0.0,Mon Jan 29 03:06:26 +0000 2018,1.0,0.0,0.0,RT @FunnyManShaun: Elton John with the Liberace swag #GRAMMYs,44,@CBS
0.4404,Mon Jan 29 03:04:50 +0000 2018,0.674,0.0,0.326,RT @BlueBloods_CBS: Lookin' good @DonnieWahlberg 🤠 #GRAMMYs https://t.co/7FftMSU7Do,45,@CBS
0.7574,Mon Jan 29 03:02:43 +0000 2018,0.755,0.0,0.245,That's what we like! @BrunoMars wins the #GRAMMY for Song of the Year. See all of The 60th Annual #GRAMMYs winners… https://t.co/op6rSMuOzv,46,@CBS
-0.1531,Mon Jan 29 02:49:24 +0000 2018,0.682,0.176,0.142,RT if you're crying like @HaileeSteinfeld after that moving @KeshaRose + @cyndilauper + @Camila_Cabello +… https://t.co/9qnQrhpiXy,47,@CBS
0.8899,Mon Jan 29 02:45:57 +0000 2018,0.581,0.0,0.419,RT @KathyLynn904: That’s was absolutely beautiful and powerful thank you @KeshaRose and all the ladies who joined her unbelievable #GRAMMYS,48,@CBS
0.5829,Mon Jan 29 02:40:59 +0000 2018,0.679,0.0,0.321,RT @naptural_mae: I have so much admiration for Kesha #GRAMMYs,49,@CBS
0.0,Mon Jan 29 02:40:57 +0000 2018,1.0,0.0,0.0,"RT @fifthpoesys: QUE PERFORMANCE MARAVILHOSA
#GRAMMYs",50,@CBS
0.3612,Mon Jan 29 02:37:11 +0000 2018,0.667,0.0,0.333,RT @BaileyGrey789: Janelle. Thank you. #GRAMMYs,51,@CBS
0.7964,Mon Jan 29 02:36:48 +0000 2018,0.608,0.0,0.392,"RT @OnAirWithEmily: We remember, we love and we must do better. 

#GRAMMYs #Route91",52,@CBS
0.7184,Mon Jan 29 02:36:35 +0000 2018,0.739,0.0,0.261,"Major Key Alert 🔑 How amazing was that performance by @djkhaled, @rihanna and @brysontiller? See all of the perform… https://t.co/F4w9YRIR7J",53,@CBS
0.7964,Mon Jan 29 02:29:28 +0000 2018,0.608,0.0,0.392,Winner @ChrisStapleton is keepin' country strong at The 60th Annual #GRAMMYs #BestCountryAlbum https://t.co/MuKqktqPGa,54,@CBS
0.3164,Mon Jan 29 02:22:53 +0000 2018,0.859,0.0,0.141,"Dream Team @JKCorden, @OfficialSting, and @DiRealShaggy take on Subway Car-pool Karaoke! Should @latelateshow conti… https://t.co/pImiqypXCg",55,@CBS
-0.2755,Mon Jan 29 02:18:44 +0000 2018,0.81,0.19,0.0,Don't you feel like you're at The #GRAMMYs now? https://t.co/p1HEGnmbdb,56,@CBS
0.0,Mon Jan 29 02:15:17 +0000 2018,1.0,0.0,0.0,"RT @muvvafucker: RIHANNA IS SLAYING 
#GRAMMYS",57,@CBS
0.0,Mon Jan 29 02:08:34 +0000 2018,1.0,0.0,0.0,Watching that performance by @OfficialSting and @DiRealShaggy like... #GRAMMYs https://t.co/mVwpuPvVjZ,58,@CBS
0.8271,Mon Jan 29 02:07:10 +0000 2018,0.712,0.0,0.288,RT @JustJoshying: #BrunoMars is gonna go down as one of the greatest performers of our generation. Never ceases to amaze #GRAMMYs,59,@CBS
0.0,Mon Jan 29 02:06:10 +0000 2018,1.0,0.0,0.0,This may be the first time potty training was an issue at The #GRAMMYs! 🐶 https://t.co/cNhr6VNhWO,60,@CBS
0.9359,Mon Jan 29 02:06:06 +0000 2018,0.359,0.0,0.641,Congratulations to @DaveChappelle for winning Best Comedy Album at The #GRAMMYs! https://t.co/7mpY88ygdu,61,@CBS
-0.2896,Mon Jan 29 02:03:08 +0000 2018,0.793,0.128,0.079,"Didn't win a #GRAMMY? That's okay, you can get a consolation puppy. 

Watch The #GRAMMYs now on CBS and CBS All Acc… https://t.co/thYXMLHNgd",62,@CBS
0.0,Mon Jan 29 01:56:46 +0000 2018,1.0,0.0,0.0,It's a throwback kind of night with @BrunoMars! #GRAMMYs https://t.co/43N4Mu6Ini,63,@CBS
0.0,Mon Jan 29 01:46:21 +0000 2018,1.0,0.0,0.0,We all start somewhere. Shout out to all the music teachers out there! #GRAMMYs https://t.co/okYcihKUCo,64,@CBS
0.765,Mon Jan 29 01:44:54 +0000 2018,0.68,0.0,0.32,All smiles from @kendricklamar as he takes home yet another award at The #GRAMMYs #BestRapAlbum https://t.co/FGtK1T9zNN,65,@CBS
0.7906,Mon Jan 29 01:42:48 +0000 2018,0.781,0.0,0.219,RT @Gorgeouss_Court: @Pink is forever one of my all time favorites. One of he most authentic artists of our time if ya ask me. Love her so…,66,@CBS
0.0,Mon Jan 29 01:41:18 +0000 2018,1.0,0.0,0.0,RT @aleofsevilla: #Grammys TE AMO KENDRICK,67,@CBS
0.6996,Mon Jan 29 01:38:48 +0000 2018,0.58,0.0,0.42,Dreams are coming true at The 60th Annual #GRAMMYs! https://t.co/LkFecMxag8,68,@CBS
-0.6597,Mon Jan 29 01:35:12 +0000 2018,0.614,0.386,0.0,RT @megmeg38: @donaldglover killing everything he does. #Grammys,69,@CBS
0.0,Mon Jan 29 01:33:29 +0000 2018,1.0,0.0,0.0,This performance of Despacito by @LuisFonsi and @daddy_yankee is 🔥🔥🔥 Watch The #GRAMMYs now on CBS and CBS All Acce… https://t.co/TwiBauikih,70,@CBS
0.5093,Mon Jan 29 01:33:10 +0000 2018,0.603,0.0,0.397,"Welcome to 2018, @JKCorden! #GRAMMYs https://t.co/yVOUt7jmQy",71,@CBS
0.9259,Mon Jan 29 01:20:15 +0000 2018,0.543,0.0,0.457,Thumbs up for @edsheeran winning Best Pop Solo Performance at The #GRAMMYs! @JonBatiste accepted the award on his b… https://t.co/h7NUnIgGYE,72,@CBS
0.5994,Mon Jan 29 01:13:10 +0000 2018,0.794,0.0,0.206,The results are in for @JimGaffigan...Are congratulations in order for ABBA and @eltonofficial? 🍼👶 #GRAMMYs https://t.co/iN8befMKlA,73,@CBS
