Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.9052,Sun Jan 28 16:00:08 +0000 2018,0.554,0.0,0.446,"Mitch's life was changed forever, but thanks to a special gift, he can still chase his goals. ♿💈https://t.co/NNlWa4deRy",31,@BBC
0.7096,Sun Jan 28 15:30:08 +0000 2018,0.688,0.0,0.312,"⚡Do you know how to use a defibrillator?

This video could help you save a life. https://t.co/wOkfddUbqB",32,@BBC
0.0,Sun Jan 28 15:00:06 +0000 2018,1.0,0.0,0.0,"👨❤️️🐧 'A man needs his 'guins.' 

@DavidKHarbour is about to go dancing with penguins. 
👉 https://t.co/X8GuJOVwST https://t.co/BfBulvLfjB",33,@BBC
0.0772,Sun Jan 28 14:30:09 +0000 2018,0.939,0.0,0.061,"Don't judge a zebra by its stripes.

DNA evidence challenges the idea that we can tell subspecies apart based on va… https://t.co/J7x6N0fY0f",34,@BBC
0.0,Sun Jan 28 14:19:18 +0000 2018,1.0,0.0,0.0,"RT @BBCBreakfast: Singer and rapper, @CraigDavid says he has learnt a lot during his 17 years in the music industry and 'living in the mome…",35,@BBC
0.0,Sun Jan 28 14:17:42 +0000 2018,1.0,0.0,0.0,RT @bbcthesocial: Mind blown 😱 https://t.co/eIuR72Tyzn,36,@BBC
0.4215,Sun Jan 28 14:17:35 +0000 2018,0.833,0.0,0.167,RT @bbcthree: Michelle is different from your average 20-year-old but she's ok with that. https://t.co/Yv3aOHsBlK,37,@BBC
0.0,Sun Jan 28 14:00:07 +0000 2018,1.0,0.0,0.0,"🥁 How do rock stars and artists spend their leisure time?

Here are some of the pursuits that keep our favourite cr… https://t.co/e56TG1pKKc",38,@BBC
0.0,Sun Jan 28 13:00:13 +0000 2018,1.0,0.0,0.0,"Why do people long for predictions in exactly the areas that are unpredictable? 🤔
https://t.co/7o3VCZyQXR",39,@BBC
0.0,Sun Jan 28 12:53:44 +0000 2018,1.0,0.0,0.0,"RT @BBCSpringwatch: Look how still this kingfisher keeps it head while hunting, incredible! #Winterwatch https://t.co/QW8saez9Qo",40,@BBC
0.6249,Sun Jan 28 12:18:28 +0000 2018,0.659,0.095,0.245,🎾🏆 Roger Federer has won his sixth Australian Open and 20th Grand Slam title with a five-set victory over Marin Cil… https://t.co/vkozLA9X1S,41,@BBC
